Error for realdata\fishcatch.csv : 0.8975274454142952  Time : 0:00:07.968002 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9255428410267544  Time : 0:00:08.554995 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\fishcatch.csv : 0.8999738243757618  Time : 0:00:08.280028 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\fishcatch.csv : 0.9164937680617078  Time : 0:00:10.758584 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\fishcatch.csv : 0.8968648221235493  Time : 0:00:10.614002 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9255428410267544  Time : 0:00:10.769998 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.7799039878162364  Time : 0:02:30.902060 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7737129618041998  Time : 0:02:41.649823 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7794113769787979  Time : 0:02:56.081149 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7794113769787979  Time : 0:01:49.299854 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7773857659576751  Time : 0:01:48.687233 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7831624276904264  Time : 0:01:53.414080 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.780934233062277  Time : 0:02:03.001451 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
